ingredients,urls,pareto,unit,spice,faktor,price,purchase_size
blandet salat,25,True,g,0.0,1.0,20.0,100.0
ark husblas,25,True,g,0.0,1.0,20.0,10.0
hvid chokolade,25,True,g,0.0,1.0,40.0,85.0
hvid chokolade,25,True,g,0.0,15.0,40.0,85.0
tortillas pandekager,25,True,stk,0.0,1.0,30.0,6.0
nudler,25,True,g,0.0,1.0,40.0,250.0
kikærter,24,True,g,0.0,150.0,15.0,400.0
kikærter,24,True,g,0.0,1.0,15.0,400.0
blomkål,24,True,stk,0.0,1.0,30.0,1.0
blomkål,24,True,stk,0.0,0.1,30.0,1.0
mandelmel,24,True,g,0.0,1.0,40.0,150.0
mandelmel,24,True,g,0.0,15.0,40.0,150.0
hvidvin,24,True,ml,0.0,10.0,75.0,750.0
hvidvin,24,True,ml,0.0,1.0,75.0,750.0
yoghurt naturel,23,True,ml,0.0,10.0,27.0,1000.0
yoghurt naturel,23,True,ml,0.0,1.0,27.0,1000.0
græskarkerner,23,True,g,0.0,1.0,22.0,250.0
græskarkerner,23,True,g,0.0,15.0,22.0,250.0
græskarkerner,23,True,g,0.0,10.0,22.0,250.0
stængler frisk rosmarin,23,,,,,,
rabarber,23,True,g,0.0,1.0,40.0,200.0
rabarber,23,True,g,0.0,10.0,40.0,200.0
rabarber,23,True,g,0.0,1000.0,40.0,200.0
kapers,23,True,g,0.0,15.0,23.0,65.0
kapers,23,True,g,0.0,1.0,23.0,65.0
kapers,23,True,g,0.0,10.0,23.0,65.0
kapers,23,True,g,0.0,5.0,23.0,65.0
karry,23,True,,1.0,,,
kokosmel,23,True,g,0.0,1.0,33.0,300.0
kokosmel,23,True,g,0.0,15.0,33.0,300.0
kokosmel,23,True,g,0.0,10.0,33.0,300.0
ahornsirup,22,True,ml,0.0,15.0,43.0,250.0
ahornsirup,22,True,ml,0.0,5.0,43.0,250.0
ahornsirup,22,True,ml,0.0,1.0,43.0,250.0
ahornsirup,22,True,ml,0.0,10.0,43.0,250.0
kærnemælk,22,True,ml,0.0,10.0,20.0,1000.0
kærnemælk,22,True,ml,0.0,1.0,20.0,1000.0
skiver bacon,22,,,,,,
hindbær,22,True,g,0.0,1.0,30.0,125.0
hindbær,22,True,g,0.0,10.0,30.0,125.0
sriracha chilisauce,21,True,ml,0.0,15.0,45.0,450.0
sriracha chilisauce,21,True,ml,0.0,5.0,45.0,450.0
sriracha chilisauce,21,True,ml,0.0,1.0,45.0,450.0
majs,21,True,g,0.0,1.0,15.0,400.0
majs,21,True,g,0.0,150.0,15.0,400.0
skalotteløg,21,True,stk,0.0,1.0,26.0,10.0
saltede peanuts,21,True,g,0.0,1.0,20.0,200.0
saltede peanuts,21,True,g,0.0,10.0,20.0,200.0
saltede peanuts,21,True,g,0.0,15.0,20.0,200.0
dadel,20,True,g,0.0,1.0,45.0,200.0
mango,20,True,g,0.0,1.0,15.0,250.0
stødt gurkemeje,20,True,,1.0,,,
stødt ingefær,19,False,stk,1.0,0.15,0.0,1.0
stødt ingefær,19,False,stk,1.0,0.2,0.0,1.0
kanelstang,19,False,stk,1.0,1.0,0.0,1.0
pære,19,True,g,0.0,1.0,25.0,500.0
kakaonibs,19,False,stk,1.0,0.15,0.0,1.0
kakaonibs,19,False,stk,1.0,0.2,0.0,1.0
kakaonibs,19,False,stk,1.0,0.1,0.0,1.0
sennep,19,False,g,0.0,15.0,35.0,500.0
sennep,19,False,g,0.0,5.0,35.0,500.0
cm,19,False,,1.0,,,
aubergine,18,False,stk,0.0,1.0,16.0,1.0
pasta,18,False,g,0.0,1.0,30.0,250.0
hele nelliker,18,False,,1.0,,,
sesamolie,17,False,ml,0.0,15.0,85.0,500.0
sesamolie,17,False,ml,0.0,10.0,85.0,500.0
sesamolie,17,False,ml,0.0,5.0,85.0,500.0
appelsinjuice,17,False,ml,0.0,10.0,40.0,850.0
appelsinjuice,17,False,ml,0.0,100.0,40.0,850.0
appelsinjuice,17,False,ml,0.0,15.0,40.0,850.0
jalapenos,17,False,g,0.0,1.0,22.0,60.0
jalapenos,17,False,g,0.0,15.0,22.0,60.0
jalapenos,17,False,g,0.0,10.0,22.0,60.0
appelsin,17,True,stk,0.0,1.0,27.0,10.0
mørk rom,17,False,ml,0.0,10.0,200.0,750.0
mørk rom,17,False,ml,0.0,15.0,200.0,750.0
mørk rom,17,False,ml,0.0,100.0,200.0,750.0
spaghetti,17,False,g,0.0,1.0,30.0,500.0
koldt vand,16,False,,1.0,,,
mælkechokolade,16,False,g,0.0,1.0,35.0,200.0
pillede edamamebønner,16,False,g,0.0,1.0,25.0,300.0
tahin,16,False,stk,1.0,0.2,0.0,1.0
tahin,16,False,stk,1.0,0.15,0.0,1.0
guldstøv,16,False,stk,1.0,0.05,0.0,1.0
guldstøv,16,False,stk,1.0,0.15,0.0,1.0
rejer,16,False,g,0.0,1.0,70.0,300.0
torskefilet,16,False,g,0.0,1.0,40.0,200.0
hørfrø,15,False,g,0.0,15.0,13.0,250.0
hørfrø,15,False,g,0.0,1.0,13.0,250.0
hørfrø,15,False,g,0.0,5.0,13.0,250.0
hørfrø,15,False,g,0.0,10.0,13.0,250.0
worcestershire sauce,15,False,ml,0.0,15.0,45.0,290.0
worcestershire sauce,15,False,ml,0.0,5.0,45.0,290.0
kogende vand,15,False,,1.0,,,
fritureolie,15,False,,,,,
rødvin,15,False,ml,0.0,10.0,75.0,750.0
rødvin,15,False,ml,0.0,1.0,75.0,750.0
stjerneanis,15,False,stk,1.0,1.0,0.0,1.0
stjerneanis,15,False,stk,1.0,0.15,0.0,1.0
stjerneanis,15,False,stk,1.0,0.05,0.0,1.0
rødbede,15,False,g,0.0,1.0,15.0,1000.0
rødbede,15,False,g,0.0,10.0,15.0,1000.0
rosmarin,15,True,stk,1.0,0.2,0.0,1.0
rosmarin,15,True,stk,1.0,0.15,0.0,1.0
rosmarin,15,True,stk,1.0,,0.0,1.0
rosmarin,15,True,stk,1.0,1.0,0.0,1.0
rosmarin,15,True,stk,1.0,0.01,0.0,1.0
grønkål,15,False,g,0.0,1.0,20.0,300.0
skiver rugbrød,15,,,,,,
rålakridspulver,15,False,,1.0,,,
babykartofler,14,False,g,0.0,1000.0,25.0,1000.0
babykartofler,14,False,g,0.0,1.0,25.0,1000.0
safran,14,False,stk,1.0,0.05,0.0,1.0
safran,14,False,stk,1.0,0.15,0.0,1.0
grønne asparges,13,False,g,0.0,1.0,35.0,250.0
burgerboller,13,False,stk,0.0,1.0,40.0,6.0
rugmel,13,False,,,,,
ketchup,13,False,g,0.0,15.0,46.0,580.0
ketchup,13,False,g,0.0,1.0,46.0,580.0
ketchup,13,False,g,0.0,10.0,46.0,580.0
ketchup,13,False,g,0.0,5.0,46.0,580.0
chili,13,False,stk,0.0,1.0,5.0,1.0
chili,13,False,stk,0.0,0.01,5.0,1.0
chili,13,False,stk,0.0,0.15,5.0,1.0
chili,13,False,stk,0.0,0.05,5.0,1.0
stenbiderrogn,13,False,,,,,
cashewnødder,13,False,g,0.0,1.0,21.0,100.0
hokkaido græskar,13,False,stk,0.0,0.1,25.0,1.0
hokkaido græskar,13,False,stk,0.0,1.0,25.0,1.0
allehånde,13,False,,1.0,,,
/,13,False,,1.0,,,
vaniljeis,12,False,ml,0.0,1.0,60.0,750.0
vaniljeis,12,False,ml,0.0,15.0,60.0,750.0
pistaciekerner,12,False,,,,,
håndfulde frisk mynte,12,,,,,,
parmaskinke,12,False,,,,,
gin,12,False,ml,0.0,100.0,200.0,750.0
gin,12,False,ml,0.0,10.0,200.0,750.0
peanutbutter,12,False,g,0.0,15.0,40.0,350.0
peanutbutter,12,False,g,0.0,1.0,40.0,350.0
peanutbutter,12,False,g,0.0,5.0,40.0,350.0
peanutbutter,12,False,g,0.0,10.0,40.0,350.0
pesto,12,False,,,,,
krydderurter,12,False,,,,,
garam masala,12,False,,1.0,,,
laksefilet,11,False,,,,,
frisk salvie,11,False,,,,,
spsk,11,True,,,,,
muscovadosukker,11,False,,,,,
granatæblekerner,11,False,,,,,
nachos,11,False,,,,,
isterninger,11,False,,,,,
pankorasp,11,False,,,,,
pistaciekerner uden salt,11,False,,,,,
nougat,11,False,,,,,
hvidløgspulver,10,False,,,,,
håndfulde frisk koriander,10,,,,,,
frisk estragon,10,False,,,,,
frisk oregano,10,False,,,,,
grøn salat,10,False,,,,,
kylling,10,False,,,,,
drys muskatnød,10,,,,,,
vodka,10,False,,,,,
-,10,False,,,,,
sød kondenseret mælk,10,False,,,,,
stærk kaffe,10,False,,,,,
stængler forårsløg,10,False,,,,,
stængel frisk rosmarin,10,,,,,,
sorte bønner,10,False,,,,,
chiafrø,10,False,,,,,
citronsaft,10,False,,,,,
cornichoner,10,False,,,,,
fennikel,10,False,,,,,
bagekartoffel,9,False,,,,,
medjool dadler,9,False,,,,,
salat,9,False,,,,,
kidneybønner,9,False,,,,,
kyllingebryst med skind,9,False,,,,,
friske ærter,9,,,,,,
rødkål,9,False,,,,,
røde linser,9,False,,,,,
rød karrypasta,9,False,,,,,
risotto ris,9,False,,,,,
stuetempereret vand,9,,,,,,
perlesukker,9,False,,,,,
feldsalat,9,False,,,,,
majskolbe,9,False,,,,,
halloumi,9,False,,,,,
hakket svinekød,9,False,,,,,
durummel,9,False,,,,,
bakke karse,9,False,,,,,
hoisin sauce,8,False,,,,,
stængel citrongræs,8,False,,,,,
syltede rødbeder,8,False,,,,,
fennikelfrø,8,False,,,,,
hvide asparges,8,False,,,,,
lakridsrodspulver,8,False,,,,,
grødris,8,False,,,,,
skumfiduser,8,False,,,,,
kartofler,8,False,,,,,
ris,8,False,,,,,
oliven,8,False,,,,,
peberrod,8,False,,,,,
hyldeblomstsaft,8,False,,,,,
pekannødder,8,False,,,,,
ricotta,8,False,,,,,
peanuts,8,False,,,,,
nektarin,8,False,,,,,
kardemommekapsler,8,False,,,,,
varmrøget laks,7,False,,,,,
ananas,7,False,,,,,
sød kartoffel,7,False,,,,,
hakket kylling,7,False,,,,,
tranebær,7,False,,,,,
olivenolie salt,7,False,,,,,
æblejuice,7,False,,,,,
ærter,7,False,,,,,
serranoskinke,7,False,,,,,
svinemørbrad,7,False,,,,,
pasta penne,7,False,,,,,
laks,7,False,,,,,
lys rom,7,False,,,,,
ribs,7,False,,,,,
sorte oliven,7,False,,,,,
hønsebouillon,7,False,,,,,
akaciehonning,7,False,,,,,
hvidkål,7,False,,,,,
løgpulver,7,False,,,,,
hvidløgsflødeost,7,False,,,,,
håndfulde frisk basilikum,7,,,,,,
mandelmælk,7,False,,,,,
ølandshvedemel,7,False,,,,,
boghvedemel,7,False,,,,,
blå birkes,7,False,,,,,
frysetørret hindbær,7,False,,,,,
blommetomater,7,False,,,,,
blommer,7,False,,,,,
drys sesamfrø,7,,,,,,
blade herfra,7,False,,,,,
granatæble,7,False,,,,,
oksebouillon,6,False,,,,,
edamamebønner,6,False,,,,,
hvidtøl,6,False,,,,,
sød chilisauce,6,False,,,,,
thaibasilikum,6,False,,,,,
remoulade,6,False,,,,,
bønnespirer,6,False,,,,,
tør hvidvin,6,False,,,,,
hakket lammekød,6,False,,,,,
håndfulde frisk dild,6,,,,,,
hjortetaksalt,6,False,,,,,
rød balsamico,6,False,,,,,
lakridsrod,6,False,,,,,
rosiner,6,False,,,,,
rispapir,6,False,,,,,
pak choy,6,False,,,,,
koldrøget laks,6,False,,,,,
jordskokker,6,False,,,,,
wienerpølser,6,False,,,,,
håndfulde grøn salat,6,,,,,,
kokosolie,6,False,,,,,
mascarpone,6,False,,,,,
sorte oliven uden sten,5,False,,,,,
bær,5,False,,,,,
kantareller,5,False,,,,,
oksebov,5,False,,,,,
krymmel,5,False,,,,,
hvidvinseddike,5,False,,,,,
skyr,5,False,,,,,
flutes,5,False,,,,,
skiver ingefær,5,,,,,,
håndfulde bredbladet persille,5,,,,,,
citronsaft herfra,5,False,,,,,
skiver agurk,5,,,,,,
håndfulde persille,5,,,,,,
rød grapefrugt,5,False,,,,,
hytteost,5,False,,,,,
ananasjuice,5,False,,,,,
hindbærmarmelade,5,False,,,,,
svampe,5,False,,,,,
five spice,5,False,,,,,
grand marnier,5,False,,,,,
tørret abrikos,5,False,,,,,
teriyaki,5,False,,,,,
vannamei tigerrejer,5,False,,,,,
ymer,5,False,,,,,
lasagneplader,5,False,,,,,
hampefrø,5,False,,,,,
æblemost,5,False,,,,,
kirsebær,5,False,,,,,
kørvel,5,False,,,,,
kyllingelår,5,False,,,,,
linguine,4,False,,,,,
rosenkål,4,False,,,,,
fersken,4,False,,,,,
ribsgele,4,False,,,,,
espresso,4,False,,,,,
rugbrød,4,False,g,0.0,1.0,25.0,500.0
digestive kiks,4,False,,,,,
kaffe,4,False,,,,,
nakkefilet,4,False,,,,,
lys sirup,4,False,,,,,
kaffirblade,4,False,,,,,
medisterpølse,4,False,,,,,
kartoffelmel,4,False,,,,,
muslinger,4,False,,,,,
ost,4,False,,,,,
mousserende vin,4,False,,,,,
miso,4,False,,,,,
pebermyntestok,4,False,,,,,
pitabrød,4,False,,,,,
grønne bønner,4,False,,,,,
entrecotes,4,False,,,,,
dryp olivenolie,4,False,,,,,
mandelsmør,4,False,,,,,
quinoa,4,False,,,,,
ramsløg,4,False,,,,,
rejer med skal,4,False,,,,,
baileys,4,False,,,,,
rødspættefilet,4,False,,,,,
danskvand,4,False,,,,,
portvin,4,False,,,,,
brød,4,True,g,0.0,1.0,40.0,500.0
sukkersirup,4,False,,,,,
butterdej,4,False,,,,,
butterbeans,4,False,,,,,
stængler persille,4,False,,,,,
stængler rabarber,4,False,,,,,
brombær,4,False,,,,,
