ingredients,pareto,purchase_unit,spice,price,purchase_size
rugbrød,False,g,0.0,25.0,500.0
digestive kiks,False,,,,
kaffe,False,,,,
nakkefilet,False,,,,
lys sirup,False,,,,
kaffirblade,False,,,,
medisterpølse,False,,,,
kartoffelmel,False,,,,
muslinger,False,,,,
ost,False,,,,
mousserende vin,False,,,,
miso,True,,1.0,,
pebermyntestok,False,,,,
pitabrød,True,stk,0.0,30.0,5.0
grønne bønner,False,,,,
entrecotes,False,,,,
dryp olivenolie,False,,,,
mandelsmør,False,,,,
quinoa,False,,,,
ramsløg,False,,,,
rejer med skal,False,,,,
baileys,False,,,,
rødspættefilet,False,,,,
danskvand,False,,,,
portvin,False,,,,
brød,False,g,0.0,40.0,500.0
sukkersirup,False,,,,
butterdej,False,,,,
butterbeans,True,g,0.0,15.0,400.0
stængler persille,False,,,,
stængler rabarber,False,,,,
brombær,False,,,,
abrikosmarmelade,False,,,,
gnocchi,True,g,0.0,30.0,250.0
skært oksekød,False,,,,
grader,False,,,,
vesterhavsost,False,,,,
barbecuesauce,False,,,,
balsamico glace,False,,,,
bakke jordbær,True,stk,0.0,50.0,1.0
øl,False,,,,
g,False,,,,
cointreau,False,,,,
koteletter,False,,,,
håndfulde rucola,False,,,,
sennepsfrø,False,,,,
røget makrel,False,,,,
lunkent vand,False,,,,
suppehøne,False,,,,
surdej,False,,,,
syltede agurker,False,,,,
tabasco,False,,,,
blåskimmelost,False,,,,
tamarind paste,True,g,0.0,50.0,100.0
mandarin,False,,,,
tomat passata,True,stk,0.0,7.0,1.0
rugkerner,False,,,,
blodappelsiner,False,,,,
lys muscovadosukker,False,,,,
tykmælk,False,,,,
sumak,True,g,0.0,50.0,100.0
lavendelblomster,False,,,,
dild,False,g,0.0,9.0,180.0
dild,False,g,0.0,9.0,180.0
dild,False,g,0.0,9.0,180.0
dild,False,g,0.0,9.0,180.0
vandmelon,False,,,,
saft,False,,,,
confiteret andelår,False,,,,
farvepasta,False,,,,
balsamico,True,ml,0.0,40.0,250.0
danskvand isterninger,False,,,,
øko bergamotte,False,,,,
figner,False,,,,
røget laks,False,,,,
kyllingefond,False,,,,
dåser kidneybønner,True,stk,0.0,8.0,1.0
chokoladekugler,False,,,,
chokoladeknapper,False,,,,
saltede mandler,True,g,0.0,25.0,150.0
skiver landskinke,False,,,,
snaps,False,,,,
dryp sriracha chilisauce,False,,,,
potaske,False,,,,
sort peber,False,,,,
polenta mel,True,g,0.0,30.0,450.0
skiver cheddar ost,True,g,0.0,24.0,125.0
drys frisk timian,False,,,,
skive brød,False,,,,
stængel frisk mynte,False,,,,
pastinak,False,,,,
pastavand,True,,1.0,,
drys salt,False,,,,
stængel frisk timian,True,,1.0,,
pakke kageplast,False,,,,
pakke grønne asparges,False,,,,
bulgur,False,,,,
stængler citronmelisse,False,,,,
oreo,False,,,,
daim,False,,,,
sichuan peber,False,,,,
natron,False,,,,
nakkekoteletter,False,,,,
brune ris,True,g,0.0,12.0,1000.0
mørk øl,False,,,,
culottesteg,False,,,,
grøn peberfrugt,False,,,,
haricots verts,True,g,0.0,17.0,500.0
kiwi,False,,,,
gedeost,False,,,,
gorgonzola,True,g,0.0,30.0,150.0
kg,False,,,,
friske lasagneplader,True,stk,0.0,20.0,10.0
grønne linser,False,,,,
galangarod,False,,,,
hjertesalat,False,,,,
hvid fondant,False,,,,
fiskefond,False,,,,
kokossukker,False,,,,
perleløg,False,,,,
majsmel,False,,,,
ansjosfileter i olie,False,,,,
boghvedekerner,True,g,0.0,24.0,50.0
sød finsk lakrids,False,,,,
svineslag,False,,,,
drys frisk dild,False,,,,
drys mørk chokolade,False,,,,
svinekam,False,,,,
kammuslinger,False,,,,
svesker,False,,,,
sushi ris,False,,,,
suppenudler,False,,,,
kalvebouillon,False,,,,
gingerbeer,False,,,,
gin isterninger,False,,,,
boghvedegryn,False,,,,
pastaskruer,False,,,,
kapersbær,False,,,,
okseinderlår,False,,,,
tun i vand,False,,,,
flåede tomater,True,stk,0.0,7.0,1.0
tsk. fintrevet skal,False,,,,
dråber pebermynte essens,False,,,,
nødder,False,,,,
kartoffelvand,False,,,,
oksefond,False,,,,
tsk,False,,,,
trøffel,True,g,0.0,25.0,100.0
tarteletter,True,stk,0.0,25.0,10.0
dråber kulør,False,,,,
oliven uden sten,True,g,0.0,35.0,190.0
hasselnøddesmør,False,,,,
drys vaniljepulver,False,,,,
pakke filodej,False,,,,
tipo,False,,,,
havtorn,False,,,,
artiskokker,False,,,,
pulled pork,False,,,,
kahlua,False,,,,
radiser,False,,,,
ramen nudler,False,,,,
cognac,False,,,,
saltkaramel,False,,,,
saucejævner,False,,,,
speltkerner,True,g,0.0,25.0,400.0
cantaloupe melon,False,,,,
skal herfra,False,,,,
sort te,False,,,,
